datetime,inlet,outlet,outfall
2026-03-12 09:00,31.087,37.3163,37.734
2026-03-12 10:00,31.0714,37.3159,37.75
2026-03-12 11:00,31.0736,37.3822,37.9812
2026-03-12 12:00,31.1125,37.4259,38.078
2026-03-12 13:00,31.1266,37.4644,37.938
2026-03-12 14:00,31.1232,37.4683,37.962
2026-03-12 15:00,31.1114,37.45,38.007
2026-03-12 16:00,31.1523,37.4841,37.998
2026-03-12 17:00,31.1073,37.4483,38.008
2026-03-12 18:00,31.0917,37.4292,37.995
2026-03-12 19:00,31.0891,37.402,38.001
2026-03-12 20:00,31.0435,37.3427,37.948
2026-03-12 21:00,31.024,37.2785,37.8765
2026-03-12 22:00,31.0298,37.2316,37.8444
2026-03-12 23:00,30.9958,37.1969,37.84
2026-03-13 00:00,31.0053,37.1795,37.824
2026-03-13 01:00,31.0148,37.2,37.83
2026-03-13 02:00,30.9639,37.1267,37.734
2026-03-13 03:00,30.9477,37.1057,37.752
2026-03-13 04:00,30.9571,37.1281,37.722
2026-03-13 05:00,30.9187,37.109,37.695
2026-03-13 06:00,30.9479,37.0975,37.674
2026-03-13 07:00,30.8946,37.0932,37.6752
2026-03-13 08:00,30.8893,37.0875,37.672
2026-03-13 09:00,30.905,37.1141,37.7085
2026-03-13 10:00,30.9292,37.1535,37.804
2026-03-13 11:00,30.993,37.2339,37.818
2026-03-13 12:00,30.9667,37.2422,37.884
2026-03-13 13:00,30.9567,37.26,37.9155
2026-03-13 14:00,31.0071,37.31,37.965
2026-03-13 15:00,31.0038,37.3318,37.9886
2026-03-13 16:00,31.0583,37.3271,38.006
2026-03-13 17:00,31.0861,37.4017,38.028
2026-03-13 18:00,31.0562,37.409,37.998
2026-03-13 19:00,31.0794,37.4007,37.884
2026-03-13 20:00,30.9083,37.1979,37.833
2026-03-13 21:00,30.8979,37.1739,37.788
2026-03-13 22:00,30.9233,37.1591,37.764
2026-03-13 23:00,30.9115,37.1442,37.7674
2026-03-14 00:00,30.9309,37.1509,37.7325
2026-03-14 01:00,30.9212,37.1169,37.707
2026-03-14 02:00,30.9268,37.1074,37.722
2026-03-14 03:00,30.9304,37.0682,37.665
2026-03-14 04:00,30.865,37.029,37.6305
2026-03-14 05:00,30.8603,37.0076,37.6428
2026-03-14 06:00,30.8812,37.0299,37.648
2026-03-14 07:00,30.8839,37.0426,37.634
2026-03-14 08:00,30.8531,37.0363,37.623
2026-03-14 09:00,30.8483,37.0552,37.614
2026-03-14 10:00,30.8889,37.1068,37.783
2026-03-14 11:00,30.9058,37.163,38.028
2026-03-14 12:00,30.8735,37.1295,37.962
2026-03-14 13:00,30.8833,37.1243,37.83
2026-03-14 14:00,30.8161,37.1063,37.84
2026-03-14 15:00,30.875,37.1856,37.9005
2026-03-14 16:00,30.8955,37.2474,37.982
2026-03-14 17:00,30.9423,37.3182,38.0856
2026-03-14 18:00,31.0385,37.3643,38.1
2026-03-14 19:00,31.156,37.5136,38.1915
2026-03-14 20:00,31.2203,37.5417,38.229
2026-03-14 21:00,31.2205,37.5196,38.2032
2026-03-14 22:00,31.2182,37.5244,38.1855
2026-03-14 23:00,31.1886,37.4521,38.152
2026-03-15 00:00,31.1422,37.4035,38.004
2026-03-15 01:00,31.0853,37.3371,37.947
2026-03-15 02:00,31.04,37.2478,37.87
2026-03-15 03:00,30.9393,37.1242,37.7837
2026-03-15 04:00,30.9025,37.1071,37.701
2026-03-15 05:00,30.8474,37.0491,37.6995
2026-03-15 06:00,30.8567,37.0325,37.65
2026-03-15 07:00,30.8594,36.8919,37.6548
2026-03-15 08:00,30.8607,35.4546,36.308
2026-03-15 09:00,30.8347,36.5326,37.0457
2026-03-15 10:00,30.8425,37.0648,37.794
2026-03-15 11:00,30.8861,37.1231,37.834
2026-03-15 12:00,30.8854,37.1321,37.8645
2026-03-15 13:00,30.9288,37.1722,37.9536
2026-03-15 14:00,30.9417,37.2505,38.0115
2026-03-15 15:00,30.9812,37.2933,38.0316
2026-03-15 16:00,31.0131,37.3552,38.0712
2026-03-15 17:00,31.0558,37.4034,38.152
2026-03-15 18:00,31.0794,37.4131,38.145
2026-03-15 19:00,31.0639,37.3977,38.124
2026-03-15 20:00,31.1062,37.4412,38.188
2026-03-15 21:00,31.1083,37.4098,38.121
2026-03-15 22:00,31.05,37.3455,38.087
2026-03-15 23:00,31.0646,37.3354,38.058
2026-03-16 00:00,31.0762,37.3433,38.025
2026-03-16 01:00,31.04,37.2671,38.004
2026-03-16 02:00,31.0237,37.2583,37.9613
2026-03-16 03:00,31.0092,37.1938,37.8913
2026-03-16 04:00,30.9917,37.1562,37.806
2026-03-16 05:00,30.9667,37.1205,37.7985
2026-03-16 06:00,30.9292,37.0938,37.779
2026-03-16 07:00,30.945,37.1284,37.761
2026-03-16 08:00,30.9289,37.1254,37.764
2026-03-16 09:00,30.975,37.1813,37.8026
2026-03-16 10:00,30.9859,37.2042,37.836
2026-03-16 11:00,31.013,37.2417,37.923
2026-03-16 12:00,31.0714,37.3038,37.946
2026-03-16 13:00,31.0708,37.3085,37.971
2026-03-16 14:00,31.0714,37.3203,37.9908
2026-03-16 15:00,31.1326,37.383,38.013
2026-03-16 16:00,31.1083,37.4142,38.046
2026-03-16 17:00,31.1909,37.518,38.103
2026-03-16 18:00,31.21,37.5562,38.202
2026-03-16 19:00,31.185,37.5052,38.166
2026-03-16 20:00,31.1667,37.4875,38.1045
2026-03-16 21:00,31.0941,37.424,38.0352
2026-03-16 22:00,31.0625,37.4,38.016
2026-03-16 23:00,31.1059,37.3848,37.9956
2026-03-17 00:00,31.0526,37.3135,37.9308
2026-03-17 01:00,31.0104,37.2542,37.8888
2026-03-17 02:00,30.9937,37.2178,37.843
2026-03-17 03:00,30.9517,37.1764,37.776
2026-03-17 04:00,30.9187,37.1339,37.752
2026-03-17 05:00,30.9944,37.175,37.698
2026-03-17 06:00,30.9159,37.0964,37.686
2026-03-17 07:00,30.9096,37.0708,37.686
2026-03-17 08:00,30.8861,37.0632,37.686
2026-03-17 09:00,30.8574,37.0256,37.691
2026-03-17 10:00,30.8821,37.0729,37.746
2026-03-17 11:00,30.9219,37.1318,37.788
2026-03-17 12:00,30.9208,37.1458,37.74
2026-03-17 13:00,30.95,37.1847,37.82
2026-03-17 14:00,30.9318,37.2031,37.874
2026-03-17 15:00,31.0167,37.29,37.95
2026-03-17 16:00,31.0719,37.3391,37.986
2026-03-17 17:00,31.0456,37.3547,38.002
2026-03-17 18:00,31.0,37.375,38.058
2026-03-17 19:00,31.0463,37.3854,38.0472
2026-03-17 20:00,31.0271,37.3794,38.028
2026-03-17 21:00,30.9607,37.2978,37.9668
2026-03-17 22:00,30.9231,37.2625,37.9305
2026-03-17 23:00,30.9598,37.2642,37.906
2026-03-18 00:00,30.9736,37.2703,37.9155
2026-03-18 01:00,30.95,37.2125,37.8648
2026-03-18 02:00,30.9182,37.1474,37.856
2026-03-18 03:00,30.9,37.0984,37.8555
2026-03-18 04:00,30.8917,37.0771,37.821
2026-03-18 05:00,30.9,37.0727,37.7604
2026-03-18 06:00,30.8882,37.0745,37.7268
2026-03-18 07:00,30.8617,37.0333,37.691
2026-03-18 08:00,30.725,36.9516,37.5972
2026-03-18 09:00,30.5883,36.8047,37.4592
2026-03-18 10:00,30.6679,36.8911,37.51
2026-03-18 11:00,30.7969,37.012,37.698
2026-03-18 12:00,30.8632,37.0804,37.748
2026-03-18 13:00,30.9071,37.1271,37.8135
2026-03-18 14:00,30.9619,37.1812,37.87
2026-03-18 15:00,31.0019,37.2386,37.9005
2026-03-18 16:00,31.0625,37.3179,38.006
2026-03-18 17:00,31.075,37.3563,37.962
2026-03-18 18:00,31.1075,37.4424,38.028
2026-03-18 19:00,31.0861,37.4375,38.052
2026-03-18 20:00,31.0478,37.4188,38.082
2026-03-18 21:00,31.0304,37.3903,38.072
